,count,mean,std,min,25%,50%,75%,max,range,variance
delta_1_mean,1489.0,-0.8295264021770544,1.1610675468641654,-3.639886,-1.7967515,-0.90621156,0.038523436,2.9914238,6.6313098,1.3480778483811708
delta_1_std,1489.0,9.21380660149765,4.111963145823598,0.7192946,6.628045,8.725614,11.3094225,25.029999,24.3107044,16.908240912611497
delta_2_mean,1489.0,-0.15941520063733947,0.3885551479989448,-1.2959749,-0.47514585,-0.14362353,0.094557844,1.2828082,2.5787831,0.1509751030364819
delta_2_std,1489.0,2.9327284584217597,1.3000729535416542,0.37839735,2.0321212,2.8427346,3.561867,10.93567,10.55727265,1.6901896845305202
delta_3_mean,1489.0,0.07529590543131306,0.23403017468923096,-0.78889555,-0.0768668,0.04478045,0.22821033,0.8422847,1.6311802499999999,0.05477012266507195
delta_3_std,1489.0,2.2350634885963734,1.3200056327236949,0.19952343,1.3287566,1.9177495,2.8253744,8.406942,8.207418570000002,1.742414870422282
delta_4_mean,1489.0,-0.03432525866073655,0.1355937873315229,-0.5521288,-0.12194903,-0.029582717,0.050241992,0.4635688,1.0156976,0.018385675162906262
delta_4_std,1489.0,1.3227809086836801,0.6475703074788967,0.20972593,0.870114,1.1712302,1.6485283,4.544864,4.335138069999999,0.4193473031283127
delta_5_mean,1489.0,0.016614510439722053,0.10165779286395354,-0.5607025,-0.042409156,0.012233157,0.07647701,0.47700208,1.03770458,0.010334306849970484
delta_5_std,1489.0,1.0854628498186703,0.5674431732638082,0.20474686,0.688568,0.94782084,1.3662292,4.3089275,4.10418064,0.32199175488370024
delta_6_mean,1489.0,-0.01615305199011461,0.0923303538025044,-0.34037825,-0.07001446,-0.01774143,0.035570055,0.33393914,0.67431739,0.00852489423329564
delta_6_std,1489.0,0.9393884686165211,0.45431141851109735,0.15566294,0.6096403,0.85392034,1.190645,4.1775846,4.02192166,0.20639886498956544
delta_7_mean,1489.0,-0.0035941171154287898,0.08396246744463119,-0.2926405,-0.052683603,-0.0048605865,0.042903285,0.3217909,0.6144314,0.0070496959393907535
delta_7_std,1489.0,0.8940080554956347,0.4272206607030523,0.061328717,0.60998124,0.80603826,1.0805078,2.9399009,2.878572183,0.18251749293155256
delta_8_mean,1489.0,-0.01152989787174048,0.08303301984003741,-0.3293013,-0.057297375,-0.011219604,0.032713994,0.3515843,0.6808856000000001,0.006894482383756047
delta_8_std,1489.0,0.8525558084338482,0.43030705813594355,0.09959133,0.5764727,0.77469385,1.0452046,3.9578574,3.85826607,0.18516416428161028
delta_9_mean,1489.0,-0.0017175495431373245,0.0663122592396979,-0.27711585,-0.042237017,-0.00075998734,0.035427555,0.23755257,0.51466842,0.0043973157254729
delta_9_std,1489.0,0.8109740180792477,0.39387403060448334,0.13448192,0.52215433,0.7546241,1.005404,3.3865843,3.25210238,0.15513675198462146
delta_10_mean,1489.0,-0.003834585010312392,0.06720538561349644,-0.43433288,-0.040964767,-0.0030928145,0.037320483,0.23713666,0.6714695399999999,0.0045165638554587545
delta_10_std,1489.0,0.7791224027864337,0.4134816274776181,0.02585827,0.49883375,0.69119483,0.978772,4.208935,4.183076730000001,0.1709670562615397
delta_11_mean,1489.0,0.0014922352384227908,0.06257101403802455,-0.42186972,-0.030215254,0.0018586819,0.036175407,0.26329595,0.68516567,0.003915131797746666
delta_11_std,1489.0,0.7652339341638683,0.43609276945874687,0.09510007,0.4468765,0.67978215,0.97733635,3.1948502,3.09975013,0.19017690357419975
delta_12_mean,1489.0,-0.004694826790109931,0.0606001342111379,-0.39154884,-0.035757042,-0.0029770646,0.026767448,0.29021096,0.6817598,0.003672376266407926
delta_12_std,1489.0,0.7718882277837474,0.48403279431229296,0.09292436,0.43149644,0.6539401,0.96781343,4.157279,4.06435464,0.23428774596976648
delta_13_mean,1489.0,-0.0048401210076533165,0.05750880787960675,-0.35467276,-0.03620274,-0.0029033248,0.027987229,0.3163527,0.67102546,0.003307262983733519
delta_13_std,1489.0,0.714439747149765,0.4195394886752031,0.086289786,0.42303318,0.6234677,0.8714318,3.159362,3.0730722139999997,0.17601338255785087
delta2_1_mean,1489.0,-0.2268382284363026,0.3652098185555249,-1.8668206,-0.41124982,-0.14789478,-0.0124868965,1.2775677,3.1443883,0.13337821156935942
delta2_1_std,1489.0,4.620422396682337,2.4715930525835192,0.35940665,3.1632974,4.1435,5.414383,20.390127,20.03072035,6.108772217579118
delta2_2_mean,1489.0,-0.02587194281881362,0.1281832572323991,-0.7146796,-0.09090631,-0.021475762,0.04457379,0.49438444,1.20906404,0.016430947434707393
delta2_2_std,1489.0,1.617379804519812,0.9035791703610475,0.26915228,1.0431043,1.4363683,1.8884928,6.861445,6.59229272,0.816455317110359
delta2_3_mean,1489.0,0.05604493769011659,0.09782275292443264,-0.24639903,-0.0057078847,0.039513074,0.10533022,0.5664702,0.81286923,0.009569290989714594
delta2_3_std,1489.0,1.2110476291336467,0.7585237569316662,0.22178642,0.7273124,1.0018674,1.470122,6.503307,6.2815205800000005,0.5753582898297295
delta2_4_mean,1489.0,0.001708356918739131,0.05869610993325847,-0.27931267,-0.031846676,-0.004370279,0.034630578,0.2401642,0.51947687,0.003445233321297163
delta2_4_std,1489.0,0.7732081834116857,0.38492800124816573,0.14586999,0.5063985,0.6979463,0.93130684,3.4265897,3.28071971,0.1481695661449079
delta2_5_mean,1489.0,0.019236424246186507,0.051792111250592146,-0.1729156,-0.010369799,0.013010095,0.040228475,0.25283468,0.42575028,0.0026824227877937134
delta2_5_std,1489.0,0.6582498925319006,0.35872660269265155,0.07604701,0.4247253,0.5783245,0.7967699,4.216339,4.14029199,0.12868477547941148
delta2_6_mean,1489.0,0.001987835474102196,0.04064642639643067,-0.24210435,-0.02122461,7.101457e-05,0.024171053,0.21187332,0.45397767,0.0016521319788004563
delta2_6_std,1489.0,0.5776808946541303,0.3099081448917635,0.08059775,0.38217184,0.5316515,0.6936878,3.3522215,3.2716237500000003,0.09604305827025429
delta2_7_mean,1489.0,0.0042804982783620805,0.03905971145416599,-0.16718908,-0.0182288,0.002038259,0.026333325,0.16038434,0.32757342,0.001525661058882706
delta2_7_std,1489.0,0.5517710698220282,0.27013953710071076,0.049852133,0.37761694,0.5021431,0.67389685,2.8994393,2.849587167,0.07297536950498629
delta2_8_mean,1489.0,-0.0017691642784531023,0.038035674491011355,-0.22091848,-0.023185322,-0.00088688213,0.01955585,0.23198041,0.45289889,0.001446712533986172
delta2_8_std,1489.0,0.5270774609382136,0.2659470637876565,0.06829049,0.35653433,0.48384905,0.6438357,3.25279,3.18449951,0.07072784073727581
delta2_9_mean,1489.0,0.003398806268957857,0.035344180338867534,-0.2176197,-0.01790657,0.0016046271,0.023814097,0.15517299,0.37279269000000004,0.0012492110838263901
delta2_9_std,1489.0,0.5064659652719946,0.2406715344680369,0.07401229,0.33559683,0.46931657,0.61802214,1.7956144,1.72160211,0.05792278750319948
delta2_10_mean,1489.0,-0.0005788583462509429,0.034238806433146037,-0.1782183,-0.017741999,0.0005517157,0.018364541,0.13831016,0.31652846,0.0011722958659664425
delta2_10_std,1489.0,0.4926898413357958,0.2501937695168588,0.041016895,0.31817538,0.44289702,0.622049,1.8374208,1.796403905,0.06259692230505506
delta2_11_mean,1489.0,-0.0014302752356148722,0.03364300411015738,-0.23454979,-0.018241754,0.00025553175,0.016421815,0.21357183,0.44812162,0.0011318517255560665
delta2_11_std,1489.0,0.4819217133707186,0.2686970383392415,0.091434345,0.2973005,0.4238778,0.60598165,2.7116392,2.620204855,0.07219809841227984
delta2_12_mean,1489.0,8.661226522839733e-05,0.030565154452167245,-0.1923597,-0.016066233,-0.00088625576,0.015155938,0.16131213,0.35367183,0.0009342286666848392
delta2_12_std,1489.0,0.48072980543317667,0.26875024579025236,0.077291854,0.28731847,0.41305074,0.612563,2.0618563,1.984564446,0.07222669461232105
